X,Y,Z,SensorValue
0.252,15.0,0.0,289
0.252,15.0,0.044,288
0.252,15.0,0.188,290
0.252,15.0,0.352,294
0.252,15.0,0.524,289
0.252,15.0,0.66,295
0.252,15.0,0.7,289
0.252,15.0,0.7,283
0.252,14.952,0.7,301
0.252,14.812,0.7,299
0.252,14.64,0.7,291
0.252,14.48,0.7,289
0.252,14.308,0.7,291
0.252,14.144,0.7,288
0.252,13.972,0.7,301
0.252,13.808,0.7,291
0.252,13.64,0.7,290
0.252,13.476,0.7,296
0.252,13.304,0.7,297
0.252,13.136,0.7,301
0.252,12.968,0.7,295
0.252,12.8,0.7,293
0.252,12.636,0.7,292
0.252,12.464,0.7,293
0.252,12.3,0.7,293
0.252,12.132,0.7,289
0.252,11.968,0.7,278
0.252,11.796,0.7,281
0.252,11.632,0.7,288
0.252,11.46,0.7,256
0.252,11.3,0.7,254
0.252,11.128,0.7,249
0.252,10.964,0.7,284
0.252,10.792,0.7,258
0.252,10.624,0.7,269
0.252,10.46,0.7,292
0.252,10.288,0.7,291
0.252,10.124,0.7,299
0.252,9.956,0.7,297
0.252,9.792,0.7,297
0.252,9.62,0.7,311
0.252,9.456,0.7,306
0.252,9.284,0.7,310
0.252,9.124,0.7,299
0.252,8.952,0.7,299
0.252,8.788,0.7,298
0.252,8.616,0.7,297
0.252,8.456,0.7,299
0.252,8.284,0.7,288
0.252,8.112,0.7,302
0.252,7.948,0.7,288
0.252,7.78,0.7,289
0.252,7.616,0.7,303
0.252,7.444,0.7,269
0.252,7.28,0.7,274
0.252,7.108,0.7,271
0.252,6.948,0.7,256
0.252,6.776,0.7,261
0.252,6.612,0.7,261
0.252,6.44,0.7,287
0.252,6.276,0.7,260
0.252,6.108,0.7,256
0.252,5.944,0.7,268
0.252,5.772,0.7,258
0.252,5.604,0.7,263
0.252,5.44,0.7,258
0.252,5.268,0.7,265
0.252,5.104,0.7,259
0.252,4.936,0.7,286
0.252,4.772,0.7,282
0.252,4.6,0.7,295
0.252,4.436,0.7,300
0.252,4.264,0.7,290
0.252,4.104,0.7,289
0.252,3.932,0.7,292
0.252,3.768,0.7,289
0.252,3.596,0.7,291
0.252,3.432,0.7,292
0.252,3.264,0.7,291
0.252,3.092,0.7,288
0.252,2.928,0.7,296
0.252,2.76,0.7,295
0.252,2.596,0.7,284
0.252,2.424,0.7,278
0.252,2.26,0.7,295
0.252,2.088,0.7,301
0.252,1.928,0.7,307
0.252,1.756,0.7,297
0.252,1.592,0.7,299
0.252,1.42,0.7,298
0.252,1.256,0.7,299
